1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
28.1207,1,1,0.829608,-0.543666,-0.70636,30.1808/28.1207,-0.113942,87.6583/103.588,0/93.8583,0.0914508,18.2926/103.361,1.45472/36.9971,21.5939/86.247,0.476475,0.197078,88.6154/104.522,0.00151224/98.3645,0.050305,30.6626/149.821,25.5467/149.821
28.1182,1,1,0.828343,-0.54392,-0.708023,30.184/28.1182,-0.137818,106.593/125.515,0/128.245,0.0992022,18.3324/104.664,1.46942/37.5468,25.0616/101.008,0.479203,0.237093,107.414/126.718,0.00208145/134.453,0.0592589,30.527/150.404,27.1851/150.404
28.1128,1,1,0.824835,-0.545751,-0.702414,30.1131/28.1128,-0.14885,104.826/124.95,0/123.393,0.132506,14.8503/100.293,1.21807/37.7118,22.2359/89.9987,0.498532,0.24419,106.34/126.613,0.00201991/128.771,0.0723561,27.8498/141.079,23.6109/141.079
28.1133,1,1,0.824046,-0.546024,-0.701303,30.1069/28.1133,-0.15195,105.194/125.257,0/132.024,0.139577,14.4484/100.783,1.15511/37.3911,24.4262/98.7658,0.498739,0.246713,106.832/127.093,0.0021639/137.602,0.0751472,25.8764/140.321,23.3229/140.321
28.1234,1,1,0.820136,-0.546175,-0.700481,30.0908/28.1234,-0.157982,107.601/126.949,0/116.582,0.119403,14.3723/102.309,1.11047/37.0308,20.5373/82.7152,0.487438,0.24488,108.965/128.788,0.00189573/121.454,0.070051,25.546/138.703,23.8666/138.703
28.1161,1,1,0.818569,-0.546222,-0.701037,30.119/28.1161,-0.146309,105.175/124.781,0/129.146,0.14033,13.4412/99.9593,1.03463/34.7537,23.9869/97.0375,0.497479,0.247213,107.353/126.817,0.00211646/134.203,0.0662576,41.2652/169.674,43.2179/169.674
28.124,1,1,0.815803,-0.54626,-0.702019,30.1071/28.124,-0.150716,106.01/125.229,0/117.138,0.15538,14.5319/100.822,1.13297/35.0632,20.6968/83.6712,0.489371,0.24631,108.016/127.275,0.00191127/121.716,0.0308501,43.9346/155.139,44.1903/155.139
28.1165,1,1,0.820536,-0.546301,-0.703237,30.1204/28.1165,-0.152433,106.54/125.658,0/136.1,0.128882,15.436/101.1,1.18492/34.6554,25.4817/103.94,0.49993,0.246332,107.76/127.519,0.00223591/141.751,0.0593319,31.2672/127.422,32.7614/127.422
28.122,1,1,0.819039,-0.546309,-0.701624,30.1169/28.122,-0.148683,106.667/125.763,0/137.707,0.121015,13.5668/101.084,1.00414/34.5532,25.0652/101.437,0.499432,0.245927,108.251/127.663,0.00224957/143.442,0.0659203,40.2471/141.955,40.9067/141.955
28.1175,1,1,0.819237,-0.546553,-0.700116,30.1091/28.1175,-0.151883,106.327/125.503,0/133.5,0.130694,14.263/100.949,1.07847/34.5545,23.9531/97.5187,0.497522,0.247059,107.78/127.435,0.00219121/139.022,0.0719043,34.3653/122.093,33.9398/122.093
28.1161,1,1,0.820598,-0.546657,-0.706374,30.1115/28.1161,-0.150885,104.512/123.382,0/114.893,0.127145,13.8064/98.8213,1.05018/34.5764,20.0345/80.883,0.49978,0.248182,106.198/125.338,0.00188437/119.485,0.0727233,21.5735/124.082,21.3262/124.082
28.1209,1,1,0.816193,-0.546684,-0.700725,30.1182/28.1209,-0.152232,107.234/126.256,0/132.985,0.108075,14.9351/102.192,1.15901/34.7666,24.8075/101.303,0.493714,0.245957,108.689/128.214,0.00218717/138.54,0.0711259,23.813/129.988,20.846/129.988
28.1182,1,1,0.81842,-0.546688,-0.702959,30.1033/28.1182,-0.154027,107.135/126.444,0/117.686,0.10704,14.6761/101.843,1.1353/35.3521,20.596/83.8141,0.498807,0.246446,108.601/128.438,0.00193662/122.565,0.0707878,24.7117/131.525,19.7406/131.525
28.1186,1,1,0.818513,-0.546704,-0.701096,30.1015/28.1186,-0.15466,107.125/126.151,0/123.437,0.101154,14.2341/101.529,1.09062/35.3731,22.5806/91.8562,0.498755,0.245742,108.434/128.186,0.00203223/128.393,0.0670082,27.4361/147.053,25.5391/147.053
28.1181,1,1,0.818344,-0.54672,-0.702977,30.1002/28.1181,-0.155021,107.655/126.781,0/121.58,0.112945,14.3715/102.228,1.09344/35.3008,21.8947/89.1168,0.49892,0.246077,108.959/128.837,0.0020005/126.458,0.0706401,25.2559/134.516,21.8727/134.516
28.1176,1,1,0.81964,-0.546735,-0.704812,30.1069/28.1176,-0.153935,106.318/125.453,0/117.63,0.105621,14.2361/100.702,1.11097/35.7584,21.1661/85.6627,0.498111,0.247228,107.906/127.458,0.00193326/122.418,0.0663291,25.9017/145.183,25.609/145.183
28.1189,1,1,0.818764,-0.546743,-0.703049,30.1052/28.1189,-0.153833,106.251/125.29,0/112.887,0.109839,14.2479/100.814,1.11126/35.7107,20.2597/81.9909,0.495982,0.247164,107.884/127.296,0.00185278/117.483,0.0679367,41.7608/146.319,40.9992/146.319
28.1178,1,1,0.818581,-0.546766,-0.703148,30.1029/28.1178,-0.154198,106.251/125.247,0/112.72,0.106689,14.2804/100.833,1.11773/35.7667,20.4251/82.7817,0.499843,0.247316,107.818/127.256,0.00185209/117.316,0.0682275,42.7768/147.351,41.5116/147.351
28.1173,1,1,0.819976,-0.546786,-0.700523,30.1046/28.1173,-0.154709,106.963/126.204,0/120.139,0.0870996,14.3138/101.769,1.10216/35.878,22.113/89.6928,0.499469,0.246987,108.483/128.203,0.00197483/125.086,0.0790203,28.018/143.078,24.1288/143.078
28.1186,1,1,0.818601,-0.546828,-0.701835,30.0999/28.1186,-0.155231,107.269/126.491,0/119.188,0.0800452,14.168/101.91,1.0869/35.6712,21.5413/87.4351,0.497894,0.246544,108.785/128.522,0.00195851/124.064,0.0864814,27.1836/135.121,23.2419/135.121
28.1193,1,1,0.818492,-0.546831,-0.701239,30.1004/28.1193,-0.155874,107.555/126.726,0/117.77,0.0816546,14.1911/102.082,1.08435/35.6308,21.2623/86.3081,0.497073,0.246381,109.033/128.757,0.00193408/122.599,0.088637,27.1568/136.824,23.3611/136.824
28.1184,1,1,0.81904,-0.546844,-0.703935,30.1013/28.1184,-0.156697,107.975/127.097,0/119.697,0.0814869,14.3243/102.399,1.09545/35.865,21.7535/88.4187,0.499421,0.246667,109.283/129.101,0.00196841/124.656,0.0817296,25.1475/136.384,23.4595/136.384
28.1174,1,1,0.819224,-0.546845,-0.703563,30.1016/28.1174,-0.156478,107.753/126.839,0/118.783,0.0879095,14.4372/102.057,1.10852/35.7771,21.4809/87.1731,0.498549,0.247132,109.121/128.84,0.00195217/123.684,0.0785866,25.9382/125.566,20.3455/125.566
28.1176,1,1,0.81872,-0.546869,-0.700356,30.1015/28.1176,-0.15535,107.817/127.048,0/118.262,0.0732545,14.2374/102.353,1.08256/35.4429,21.3977/86.8146,0.49946,0.247125,109.336/129.087,0.00194523/123.093,0.0845722,28.9316/134.977,22.3551/134.977
28.1169,1,1,0.818987,-0.546891,-0.700183,30.1058/28.1169,-0.154476,107.638/126.867,0/118.644,0.0682628,14.2229/102.098,1.08804/35.5583,21.4996/87.3161,0.500029,0.247339,109.147/128.883,0.00195207/123.496,0.078841,25.3971/132.11,23.0533/132.11
28.1174,1,1,0.818947,-0.546899,-0.702384,30.1066/28.1174,-0.154559,107.902/127.097,0/114.707,0.0632506,14.4315/102.364,1.10447/35.5592,20.5859/83.6608,0.499317,0.247445,109.351/129.102,0.00188839/119.426,0.0603848,20.022/106.958,18.6861/106.958
28.1175,1,1,0.819099,-0.546901,-0.703787,30.1061/28.1175,-0.155088,107.918/127.013,0/112.74,0.0676456,14.5862/102.22,1.12126/35.6516,20.3312/82.5606,0.499946,0.247448,109.325/129.003,0.00185532/117.397,0.0575658,21.1499/110.146,19.8068/110.146
28.1176,1,1,0.81903,-0.546912,-0.702915,30.1054/28.1176,-0.155228,107.862/126.952,0/111.038,0.074354,14.4517/102.185,1.10752/35.603,20.0308/81.3479,0.499626,0.247479,109.282/128.942,0.00182728/115.615,0.0646722,21.3285/109.225,19.8297/109.225
28.117,1,1,0.819152,-0.546916,-0.703759,30.1033/28.117,-0.155634,108.073/127.198,0/109.87,0.105623,14.4174/102.461,1.10059/35.6427,19.844/80.5753,0.499735,0.247393,109.456/129.202,0.00180884/114.393,0.0734624,22.03/120.338,20.5751/120.338
28.1169,1,1,0.819391,-0.546934,-0.700816,30.1053/28.1169,-0.155564,108.165/127.346,0/111.626,0.126823,14.4572/102.548,1.10159/35.6241,20.3012/82.4003,0.499731,0.247522,109.56/129.345,0.00183765/116.233,0.0760085,21.6624/122.793,22.1679/122.793
28.1176,1,1,0.819141,-0.546938,-0.702864,30.1042/28.1176,-0.155637,107.998/127.106,0/111.09,0.108823,14.3055/102.283,1.09202/35.6572,20.0892/81.6006,0.49934,0.247565,109.38/129.104,0.00182929/115.678,0.0701113,24.7158/135.219,23.3772/135.219
28.117,1,1,0.819,-0.546947,-0.700361,30.1145/28.117,-0.15346,108.106/127.23,0/115.912,0.0828147,14.4783/102.433,1.11315/35.5497,21.198/86.1251,0.499265,0.247634,109.534/129.221,0.00190934/120.694,0.0583464,21.5335/115.009,21.1529/115.009
28.1172,1,1,0.818881,-0.54695,-0.700951,30.1146/28.1172,-0.153108,108.131/127.242,0/117.843,0.076663,14.247/102.419,1.09108/35.5569,21.4165/86.9993,0.498747,0.247577,109.584/129.231,0.00194018/122.706,0.0549146,19.4215/109.487,20.3711/109.487
28.1184,1,1,0.818261,-0.546951,-0.705262,30.11/28.1184,-0.154241,108.068/127.184,0/112.589,0.119708,14.5885/102.382,1.12883/35.6457,20.1155/81.9159,0.499751,0.246922,109.433/129.176,0.00185459/117.259,0.0747813,17.4411/98.227,15.2281/98.227
28.1186,1,1,0.817872,-0.546953,-0.70399,30.1091/28.1186,-0.153808,107.651/126.696,0/113.847,0.138795,14.1202/101.916,1.08168/35.3185,20.6417/83.9512,0.499148,0.246754,109.111/128.715,0.00187491/118.52,0.0752631,21.0754/119.254,18.3655/119.254
28.1182,1,1,0.817955,-0.546961,-0.703693,30.109/28.1182,-0.153632,107.538/126.59,0/114.393,0.141201,14.0897/101.913,1.07871/35.31,20.7062/84.2264,0.499827,0.246767,109.023/128.617,0.0018847/119.077,0.0756283,21.257/118.38,18.3821/118.38
28.1187,1,1,0.817914,-0.546972,-0.703415,30.1087/28.1187,-0.153627,107.927/126.99,0/112.366,0.115259,14.1962/102.321,1.08179/35.2902,20.2371/82.237,0.498718,0.246684,109.438/129.022,0.00184943/116.952,0.0727738,22.6621/119.179,18.1794/119.179
28.1184,1,1,0.818104,-0.546972,-0.704573,30.109/28.1184,-0.153392,107.823/126.88,0/112.959,0.112841,14.2913/102.128,1.09306/35.2844,20.4698/83.1478,0.499017,0.246679,109.364/128.913,0.0018592/117.562,0.0724283,23.0865/114.37,17.6568/114.37
28.1183,1,1,0.818131,-0.546989,-0.702516,30.1091/28.1183,-0.153366,107.81/126.883,0/113.957,0.087314,14.1801/102.157,1.08308/35.318,20.6614/83.9747,0.499596,0.246708,109.336/128.915,0.00187634/118.605,0.0771015,21.388/110.742,17.0168/110.742
28.1187,1,1,0.817472,-0.547005,-0.700506,30.1066/28.1187,-0.154235,107.705/126.757,0/114.037,0.0981024,14.2407/102.06,1.09039/35.2375,20.6099/83.9027,0.499959,0.246687,109.183/128.793,0.00187747/118.707,0.0706377,18.2046/98.5063,15.4892/98.5063
28.1181,1,1,0.818224,-0.547008,-0.7028,30.1093/28.1181,-0.153778,107.819/126.908,0/112.878,0.103235,14.2152/102.209,1.08451/35.3069,20.3694/82.7969,0.499882,0.246822,109.306/128.936,0.0018593/117.5,0.0634329,19.7891/95.537,15.5042/95.537
28.1182,1,1,0.818163,-0.547011,-0.702805,30.1096/28.1182,-0.153827,107.904/126.985,0/113.037,0.0977153,14.1889/102.255,1.08285/35.3577,20.4535/83.1663,0.499729,0.246811,109.378/129.008,0.0018613/117.674,0.0649731,18.257/94.5609,15.073/94.5609
28.1179,1,1,0.818318,-0.54702,-0.703896,30.1099/28.1179,-0.153787,107.905/126.985,0/113.184,0.0933557,14.2602/102.24,1.09003/35.3741,20.4804/83.2814,0.499961,0.246891,109.363/129.006,0.00186417/117.833,0.067688,18.1592/96.389,15.0686/96.389
28.1183,1,1,0.817778,-0.547022,-0.703964,30.1078/28.1183,-0.154221,108.046/127.145,0/112.65,0.0963083,14.2574/102.418,1.08674/35.2765,20.3422/82.7697,0.499965,0.246763,109.499/129.175,0.0018558/117.272,0.0603646,18.7076/106.992,17.7415/106.992
28.1183,1,1,0.817912,-0.547028,-0.702994,30.1084/28.1183,-0.154232,108.085/127.18,0/112.807,0.0997629,14.4216/102.414,1.10292/35.3067,20.4072/83.013,0.499935,0.246768,109.527/129.206,0.00185846/117.439,0.0642258,18.8443/103.679,16.7323/103.679
28.1183,1,1,0.818051,-0.547031,-0.700054,30.1089/28.1183,-0.154219,108.135/127.223,0/112.845,0.117749,14.3956/102.445,1.10294/35.4298,20.4089/83.025,0.499899,0.246794,109.557/129.244,0.00185915/117.486,0.0632179,17.8402/96.7249,16.0538/96.7249
28.1183,1,1,0.817972,-0.547037,-0.703671,30.1087/28.1183,-0.154199,108.088/127.176,0/112.819,0.12478,14.4053/102.393,1.10474/35.4141,20.4006/82.9924,0.499957,0.246752,109.525/129.198,0.00185855/117.458,0.065513,15.2255/95.6853,15.7119/95.6853
28.1182,1,1,0.818065,-0.547038,-0.700753,30.1089/28.1182,-0.154044,108.12/127.209,0/112.652,0.104882,14.2819/102.431,1.09139/35.4029,20.3628/82.8453,0.499939,0.246768,109.554/129.23,0.00185559/117.284,0.0655339,19.5871/107.482,16.5094/107.482
28.1183,1,1,0.817919,-0.54704,-0.70142,30.1085/28.1183,-0.154157,108.056/127.14,0/112.561,0.11038,14.2766/102.362,1.09219/35.3923,20.3469/82.7857,0.499971,0.246736,109.504/129.165,0.00185417/117.185,0.0698205,18.752/100.305,15.1616/100.305
28.1181,1,1,0.818145,-0.547041,-0.70229,30.1093/28.1181,-0.154111,108.117/127.201,0/112.542,0.094726,14.3731/102.429,1.09975/35.4005,20.3508/82.7919,0.499966,0.246738,109.566/129.221,0.00185396/117.173,0.0699006,19.2483/109.582,17.2589/109.582
28.1182,1,1,0.818155,-0.547044,-0.703546,30.1095/28.1182,-0.154085,108.16/127.252,0/112.244,0.11334,14.4277/102.465,1.10446/35.4003,20.2857/82.5215,0.499858,0.246806,109.584/129.269,0.00184907/116.863,0.0728154,19.9972/116.461,17.6739/116.461
28.1181,1,1,0.81825,-0.547043,-0.703282,30.1099/28.1181,-0.154031,108.182/127.28,0/112.682,0.0899107,14.3546/102.48,1.09689/35.4067,20.3978/82.9818,0.499882,0.246807,109.602/129.294,0.00185632/117.324,0.0626702,17.2292/99.9986,16.6036/99.9986
28.118,1,1,0.818307,-0.547044,-0.70382,30.1099/28.118,-0.153897,108.201/127.302,0/112.783,0.0852746,14.3798/102.493,1.09895/35.4052,20.4006/82.9983,0.499987,0.246819,109.615/129.315,0.00185799/117.428,0.0600273,18.2109/103.081,16.4711/103.081
28.118,1,1,0.818296,-0.547045,-0.703722,30.1099/28.118,-0.153876,108.206/127.306,0/112.807,0.0874394,14.4318/102.493,1.1039/35.4002,20.4024/83.0011,0.499979,0.246819,109.618/129.318,0.00185836/117.453,0.0591113,18.5332/103.736,16.59/103.736
28.118,1,1,0.818306,-0.547045,-0.700746,30.1099/28.118,-0.153867,108.21/127.311,0/112.802,0.0711434,14.3665/102.497,1.09747/35.402,20.3996/82.9923,0.499966,0.246852,109.615/129.324,0.00185842/117.445,0.0617471,18.3457/98.2856,15.8673/98.2856
28.118,1,1,0.818298,-0.547045,-0.701494,30.1099/28.118,-0.153881,108.219/127.319,0/112.782,0.0636526,14.3726/102.504,1.09806/35.4046,20.3971/82.9755,0.499943,0.246827,109.628/129.331,0.00185797/117.427,0.0583517,18.6096/101.898,17.0559/101.898
28.118,1,1,0.818267,-0.547048,-0.700708,30.1099/28.118,-0.153906,108.218/127.317,0/112.743,0.0564209,14.3622/102.502,1.09714/35.4036,20.3888/82.9426,0.499972,0.246853,109.623/129.33,0.00185744/117.384,0.0619988,18.079/95.7283,15.8396/95.7283
28.118,1,1,0.818279,-0.547047,-0.704487,30.1099/28.118,-0.153883,108.2/127.299,0/112.711,0.075235,14.4334/102.484,1.10427/35.3989,20.3847/82.9207,0.500022,0.246857,109.604/129.312,0.00185699/117.35,0.0611431,16.9741/100.613,16.7435/100.613
28.118,1,1,0.818286,-0.547047,-0.701497,30.1099/28.118,-0.153886,108.205/127.304,0/112.715,0.0565016,14.3787/102.492,1.0988/35.4009,20.384/82.9308,0.499991,0.246827,109.616/129.317,0.00185706/117.357,0.074149,18.3803/102.478,17.0401/102.478
28.118,1,1,0.818281,-0.547047,-0.701985,30.1099/28.118,-0.153881,108.202/127.302,0/112.726,0.0553688,14.3831/102.49,1.09929/35.3999,20.3862/82.9394,0.499992,0.24682,109.615/129.315,0.00185723/117.368,0.0701292,18.0059/102.659,17.0928/102.659
28.118,1,1,0.81828,-0.547048,-0.701831,30.1099/28.118,-0.153896,108.21/127.308,0/112.71,0.0552949,14.4044/102.496,1.10129/35.4017,20.3845/82.9235,0.499996,0.246851,109.613/129.321,0.00185699/117.352,0.0712212,18.1669/101.918,16.9088/101.918
28.118,1,1,0.818277,-0.547048,-0.70115,30.1099/28.118,-0.153902,108.214/127.312,0/112.692,0.055564,14.4094/102.499,1.10174/35.4011,20.3811/82.9099,0.499992,0.246824,109.623/129.325,0.00185669/117.333,0.0720852,18.3019/102.925,17.005/102.925
28.118,1,1,0.818275,-0.547049,-0.702015,30.1099/28.118,-0.153905,108.216/127.314,0/112.68,0.0596229,14.3933/102.5,1.10012/35.4002,20.379/82.9023,0.499977,0.246818,109.626/129.327,0.00185649/117.321,0.0697647,18.4036/103.975,17.1386/103.975
28.118,1,1,0.818273,-0.547049,-0.700115,30.1099/28.118,-0.153906,108.217/127.315,0/112.695,0.053249,14.3874/102.5,1.0996/35.402,20.3805/82.9185,0.500005,0.246817,109.627/129.327,0.00185673/117.337,0.0668884,17.8661/100.235,16.5936/100.235
28.118,1,1,0.818271,-0.547049,-0.700123,30.1099/28.118,-0.153904,108.215/127.312,0/112.694,0.0509332,14.3778/102.497,1.0987/35.4018,20.3795/82.914,0.499992,0.246848,109.618/129.325,0.00185669/117.334,0.0690978,18.4276/102.554,16.9866/102.554
28.118,1,1,0.818273,-0.547049,-0.700211,30.1099/28.118,-0.153897,108.213/127.311,0/112.687,0.0465488,14.403/102.496,1.10119/35.4019,20.3808/82.9079,0.499959,0.246822,109.623/129.323,0.00185656/117.328,0.0699128,17.4993/97.0525,16.1444/97.0525
28.118,1,1,0.818272,-0.54705,-0.700942,30.1099/28.118,-0.153908,108.215/127.312,0/112.687,0.0511364,14.4125/102.499,1.1021/35.4022,20.381/82.9106,0.500016,0.246819,109.625/129.325,0.00185663/117.329,0.0693134,17.6162/98.3794,16.38/98.3794
28.118,1,1,0.818265,-0.54705,-0.700507,30.1099/28.118,-0.153909,108.213/127.311,0/112.7,0.0560136,14.3579/102.498,1.09681/35.4016,20.3805/82.9219,0.500024,0.246849,109.615/129.324,0.00185684/117.34,0.06837,17.5884/97.303,16.1383/97.303
27.9947,1,1,0.850068,-0.535422,-0.691818,30.0161/27.9947,-0.14177,98.8373/122.043,0/134.581,0.106863,8.62132/96.1141,0.665445/33.8124,24.1062/108.175,0.722381,0.266814,102.265/123.003,0.00252178/141.872,0.087222,26.6684/106.819,20.3831/106.819
28.0036,1,1,0.847687,-0.539379,-0.679017,30.0027/28.0036,-0.151222,100.57/124.294,0/121.057,0.145239,8.5172/99.0861,0.631426/34.4444,20.1302/91.3543,0.702821,0.270872,103.515/124.743,0.00231987/128.234,0.086334,19.6251/99.7082,18.8299/99.7082
27.9964,1,1,0.84884,-0.53793,-0.684384,30.0001/27.9964,-0.15085,100.325/124.251,0/118.53,0.156418,8.08181/98.883,0.597963/33.8746,20.1329/91.8222,0.709383,0.273669,103.319/124.791,0.00229352/125.865,0.0797926,18.0795/92.4916,18.0315/92.4916
28.0053,1,1,0.84648,-0.538721,-0.688398,30.013/28.0053,-0.146833,99.8145/124.518,0/117.331,0.148308,8.44441/98.8812,0.608189/32.9104,20.0393/90.5598,0.69807,0.269617,103.3/124.997,0.00225499/124.299,0.0879972,18.7356/88.9065,16.7822/88.9065
28.0018,1,1,0.847143,-0.539384,-0.682414,29.9975/28.0018,-0.152583,101.46/125.714,0/119.964,0.144578,7.65452/100.058,0.544492/33.701,20.5531/94.0357,0.709276,0.272246,104.372/126.079,0.00232121/127.481,0.0964262,19.51/95.0044,18.6342/95.0044
28.0069,1,1,0.84777,-0.537762,-0.69096,29.9965/28.0069,-0.143788,98.5105/123.732,0/118.208,0.133265,8.72701/97.7119,0.627405/33.3081,20.308/90.5864,0.696897,0.267551,102.661/124.213,0.00225621/124.822,0.0918825,19.9358/92.1526,18.1462/92.1526
28.0044,1,1,0.846802,-0.538937,-0.69479,30.0016/28.0044,-0.149283,99.1837/123.788,0/123.808,0.131093,8.57547/98.1894,0.640383/34.1903,21.4311/97.1382,0.701398,0.269704,102.67/124.186,0.0023777/131.148,0.0900277,18.9647/84.6873,16.182/84.6873
28.0061,1,1,0.846903,-0.537973,-0.670393,30.0018/28.0061,-0.144582,98.595/123.769,0/136.858,0.146195,8.14194/98.1384,0.595446/34.1705,24.0975/108.038,0.692068,0.268119,102.645/124.246,0.00261739/144.578,0.0943122,23.3162/123.2,23.0037/123.2
28.0035,1,1,0.847403,-0.538756,-0.665854,29.9958/28.0035,-0.149238,100.319/125.127,0/152.415,0.127627,9.05768/99.5465,0.657552/33.5988,26.7938/121.196,0.70691,0.270023,103.875/125.525,0.00292819/161.377,0.0906782,17.6771/107.089,16.6748/107.089
28.0049,1,1,0.847886,-0.539101,-0.691633,29.9911/28.0049,-0.150718,100.018/124.614,0/179.93,0.136009,10.3533/98.654,0.78556/34.1134,32.1198/144.617,0.735988,0.269947,103.439/124.951,0.00345168/190.444,0.109849,19.6702/98.6765,19.03/98.6765
28.0205,1,1,0.852424,-0.539469,-0.702394,30.0643/28.0205,-0.142825,98.3562/123.862,0/156.871,0.0853454,8.69366/97.583,0.627768/36.2424,26.3635/115.193,0.674504,0.264949,101.725/123.923,0.00293589/164.683,0.100418,25.6026/94.3662,21.384/94.3662
28.0052,1,1,0.84778,-0.539269,-0.695522,29.9901/28.0052,-0.150671,98.5076/122.834,0/136.892,0.0851295,9.65993/97.1424,0.773431/35.9372,22.6467/102.26,0.720759,0.269652,101.717/123.08,0.00261649/144.717,0.0936342,23.1253/89.543,18.5966/89.543
28.0055,1,1,0.847531,-0.539428,-0.676724,29.9865/28.0055,-0.152621,98.9531/123.104,0/154.82,0.12861,8.39419/97.5976,0.642881/35.8163,27.2981/123.505,0.698424,0.270732,102.154/123.366,0.00297515/163.93,0.0903007,18.8069/101.172,18.9998/101.172
28.0062,1,1,0.847459,-0.539339,-0.673325,29.9892/28.0062,-0.150435,98.9738/123.378,0/173.929,0.16736,9.35795/97.8442,0.726261/35.4103,30.7092/138.156,0.711268,0.26922,102.398/123.708,0.00333603/183.995,0.0986332,21.6965/118.581,19.977/118.581
28.0071,1,1,0.847368,-0.53929,-0.677421,29.9918/28.0071,-0.149697,98.7682/123.273,0/175.498,0.181067,8.43939/97.6702,0.638921/35.3614,30.1955/135.927,0.695735,0.268675,102.276/123.616,0.00336358/185.583,0.0967918,21.4483/123.632,21.0161/123.632
28.0074,1,1,0.847467,-0.539283,-0.685691,29.9924/28.0074,-0.150173,99.1261/123.662,0/179.477,0.182627,9.54287/98.0482,0.742704/35.5274,31.0218/139.555,0.712599,0.268571,102.591/123.985,0.00343989/189.811,0.0943896,21.6409/116.818,20.1239/116.818
28.0064,1,1,0.847836,-0.539361,-0.659731,29.9924/28.0064,-0.150292,99.3802/123.931,0/157.709,0.201579,7.95521/98.2403,0.584135/35.1135,26.1145/117.775,0.697144,0.268971,102.784/124.242,0.00302251/166.829,0.0899254,17.8355/137.327,30.7531/137.327
28.0066,1,1,0.847789,-0.539311,-0.655819,29.9925/28.0066,-0.150217,99.4621/124.045,0/153.41,0.205887,7.93541/98.2974,0.582026/35.1202,26.1291/117.814,0.697037,0.269001,102.87/124.356,0.00294007/162.28,0.0909253,18.0751/137.463,29.7959/137.463
28.0066,1,1,0.847866,-0.539364,-0.659489,29.9928/28.0066,-0.150379,99.6856/124.31,0/162.568,0.158494,7.79332/98.5262,0.572202/35.4282,28.2708/127.497,0.699181,0.268996,103.079/124.612,0.00311521/171.966,0.0991097,28.4203/166.491,22.0705/166.491
